x	"Benchmark"	"GMW"	"SD"	"GMW (Vectorized)"	"SD"	"BMR"	"SD"	"BMR (Vectorized)"	"SD"	"GMW Improvement"	"BMR Improvement"
1	"N: 4"	0.4238124000000001	0.021717727187567253	0.33940319999999996	0.02251272159192703	2.2767324	0.04604561792993317	0.8711931999999999	0.015497369477530179	1.248698892644501	2.6133495991474684
2	"N: 8"	0.5728858	0.021828875924978886	0.37264159999999996	0.02620869674864858	4.2046582	0.05058786918486097	1.0222710000000002	0.010801389309168652	1.5373640516786105	4.113056322638517
3	"N: 16"	0.7864806000000001	0.04048811981183252	0.41373480000000007	0.01039453668633328	8.1143326	0.0822130388823532	1.3364063999999998	0.07261273949055923	1.900929290937093	6.07175526845726
4	"N: 32"	1.1544640000000002	0.10233736103637349	0.5462314	0.013061376712574301	16.1490628	0.15661308121368125	1.8316848	0.023422443531629176	2.1135072059204214	8.81650751264628
5	"N: 64"	2.1980608	0.2231185860837919	0.7922506	0.038731679918657926	31.5580876	0.3222321453311177	2.8619952	0.026059328390829223	2.7744514172662034	11.026603957966108
6	"N: 128"	4.0200852	0.2919779851277147	1.2497863999999999	0.09214848285486894	62.5657438	0.721779439969408	4.984700800000001	0.04574119366633485	3.216617815652339	12.551554508547433
7	"N: 256"	8.015742	0.4096750607018387	2.1946366000000004	0.19513331776545334	124.8460322	1.0881642162229066	9.5988924	0.5561742750495573	3.6524233670394444	13.006295622190743
8	"N: 512"	14.779539399999997	0.8999673692056055	4.9642202	0.4781677195725487	250.41696679999998	3.9562240351435842	18.2281512	0.9897105870998907	2.9772126949566013	13.737924600932649
9	"N: 1024"	0	0	9.5697456	1.1569248536411543	0	0	34.9225944	0.27245713342915373	0.0	0.0
10	"N: 2048"	0	0	18.8066764	1.1984187364101737	0	0	68.56651060000002	1.012753195855585	0.0	0.0
11	"N: 4096"	0	0	40.747304799999995	2.8062715447949302	0	0	135.6148746	0.9961589348993414	0.0	0.0
